Das Abitur,School Leaving Exam
Jünger,Younger
Das Kind,Child
Die Leute,People
Gegenteil / Gegenüber,Opposite
Alt,Old
Dünn,Slim/thin
Groß,Big
Reich,Rich
Ruhig,Peace/Calm
Schwach,Weak
Unsympathisch,Unsympathetic
Arm,Poor
Dick / Fett,Fat
Klein,Small
Klug,Clever / Smart
Lieb / Nett,Kind/Nice
Nervös,Nervous
,
,
Das Milchprodukt(-e),Milk Product(-s)
Die Wurst,Sausage
Der Schinken,Ham
Das Hähnchen / Huhn,Chicken
Der Pfeffer,Pepper
Der Teller / Das Gericht,Plate/Dish
Die Serviette,Napkin
,
Das Messer,Knife
Die Zitrone,Lemon
Der Honig,Honey
Der Tee,Tea
,
4. Einkaufen,
Mengen,To mix / to blend
Preis(e),Price(s)
Das Paket,Packet
Das Öl,Oil
Der Markt,Market
Der Schreibwarenladen,Stationery Shop
Der Drogeriemarkt,Chemist Shop
Wünschen,To wish
Sonst,Rather/else/otherwise
Noch,Still
Das Geschäft,Shop
Der Kassenzettel,Counter slip
Der Rabatt,Discount
Laden,Load
Der Katalog,Catalogue
Die Ermäßigung,Reduction
Verkäufer,Seller
Die Quitting,Receipt
Das Sonderangebot,Special offer
Stückkuchen,Piece of cake
,
,
Der Kindergarten,Kinder garden
Die Kneipe,Pub
,
Das Lebensmittelgeschäft,Grocery shop
Das Restaurant,Restaurant
Deshalb,Therefore
Bringen,To bring
Etwas,Something
Die Sehenswürdigkeiten,Sight-Seeing places
Dieser,This
Das Weihnachten,Christmas
Mitnehmen,To take with
Der Hustensaft,Cough syrup
Das Visum,Visa
Abholen,To pick up
Die Premiere,Premier
Pass beantrangen,To apply for passport
Die Natur,Nature
Genießen,To enjoy
Die Komödie,Comedy
Das Konsulat,Consulate
Die Touristeninformation,Tourist information
Verbringen,To Spend
Das Auto,Auto
Der Friseur,Salon
Das Fieber,Fever
Schmutzig,Dirty
Buchen,To book
Das Reisebüro,Travel agency
Die Werkstatt,Workshop
Die Regierung,Government
,
,
,
Das Arbeitszimmer,Working room
Das Bad,Bath
Der Flur,Corridor / Hall
Das Kinderzimmer,Children’s room
Das Schlafzimmer,Bedroom
Das Wohnzimmer,Living room
Das Möbelstück,Piece of furniture
Das Sofa,sofa
Das Bücherregal,Bookshelf
Der Tisch,Table
Die Spülmaschine/ Der Geschirrspüler,Dish washer
Der Sessel,Arm chair
Der Schreibtisch,Writing table
Der Stuhl,Stool
Die Waschmaschine,Washing machine
Die Heizung,Heater
Das Dach,Roof
Das Erdgeschoss,Ground floor
Die Tür,Door
Die Garage,Garage
Der Keller,Basement
Drinnen,Indoor
Draußen,Outside/outdoor
Neben,Beside
Oben,Above
Unter,Under
,
7. Wohnungsuche,
Das Dachgeschoss,Top floor
Die Monatsmiete,Monthly rent
,
Die Nebenkosten,Nearby cost
Quadratmeter,Square meter
Das Wochenende,Weekend
Zentral,Central
Das Zimmer,Room
Die Küche,Kitchen
Der Hausmeister,Caretaker / Janitor
Die Kaution,Deposit
Die Miete,Rent
Der Mietvertrag,Rent contract
Bezahlen,To pay
Jeden,Each
Unterschreiben,To Sign
Die Etage / Der Stock,Floor
Der Strom / Die Elektrizität,Power/electricity
Organisieren,Organize
Makler,Broker/agent
Die Sicherheit,"Surety, safety, certainty (security)"
Der Bau,Building
Der Altbau,Old building
Das Hochhaus,Highrise building
Der Neubau,New building
Vermieter,Landlord
Wohnungsanzeige,Apartment advertise
Umziehen,To move
Einziehen,To move in
,
8. Der Körper,Body
Der Kopf,Head
Das Haar(-e),Hair(-s)
,
Das Auge(-n),Eye(-s)
Das Ohr(-en),Ear(-s)
Die Nase,Nose
Der Mund,Mouth
Das Gesicht,Face
Der Hals,Throat
Der Arm,Sleeve
Die Hand,Hand
Der Bauch,Stomach
Der Rücken,Back
Das Bein,Leg
Das Knie,Knee
Der Fuss,Foot
Die Zähne,Teeth
Das Herz,Heart
Der Magen,Tummy
Fühlen,To feel
Gehen,To go
Hören,To Hear
Lachen,To laugh
Laufen,To run
Riechen,To Smell
Schmerzen,To pain
Operieren,To operate
Der Patient,Patient
Untersuchen,"To Examine, to investigate"
Der Termin,Appointment
,
9. Die Kleidung,Cloths
Der Anzug,Suit
,
Die Bluse,Blouse
Die Hose,Trouser
Die Jacke,Jacket
Die Jeans,Jeans
Die Handschuhe,Handgloves
Das Hemd,Shirt
Das Kleid,Cloth
Der Pullover,Sweater
Der Rock,Skirt
Das T Shirt,T-shirt
Der Schuh,Shoe
Die Sportschuhe,Sport shoes
Tragen,To wear
Der Gürtel,Belt
Das Halstuch,Scarf
Die Kette,Chain/necklace
Die Handtasche,Handbag
Die Krawatte,Tie
Der Ring,Ring
Die Mütze,Cap
Die Ohrringe,Earrings
Der Stiefel,Boot
Dunkel,Dark
Gross,Big
Hell,Bright
Kurz,"Short, Little"
Modern,Modern
Überhaupt,At all
Etwas,Something
Kalt,Cold
,
Schnell,Fast
Schmutzig,Dirty
Gefallen,To Like
Leider,Unfortunately
Braun,Brown
Lila,Purple
,
,
Vor,Before
Nach,After
Halb,Half
Viertel,Quarter
Wie viel spät ist es?,What time is it?
Die Woche,Week
Die Sekunden,Seconds
Die Minute,Minute
Das Neujahr,New year
Das Ostern,Easter
Der Karneval,Carnival
Tag der deutschen einheit,Day of Germany’s unity
Silverster,New year’s eve
,
,
Bald,Soon
Früher,Earlier
Fertig,"Finish , Ready"
Erledigen,"To do, to complete"
Hoffentlich,Hopefully
Höflich,Politely
Besser,Better
,
Ein bisschen,Little bit
Noch,Still
Noch nicht,Not yet
Schon,Already
Erste,First
Keine sorge,Don’t worry
Ungefähr,Approximatly
Dann/danach,Then/after that
Vorher,"Before,previously"
Zuerst,First of all
Zum schluss,At the end
Natürlich,Naturally
Endlich,Finally
Früh,Early
Gerade,Straight
Im moment,Currently
Plötzlich,Sudden
Spät,Late
Kommen,To come
Dauern,To last
Die Dauer,Duration
Ganz,"Full , Entire"
Die Sonne,Sun
Der Himmel,Sky
Der Stern(e),Star(s)
Das Gewitter,Thunderstorm
,
,
-,
Die Landschaft,Countryside
Der Berg,Mountain
,
Das Dorf,Village
Der Fluss,River
Der wald,Forest
Die Ferien,Holidays
Fallen,Fall
Die Bäume,Trees
Warm,Warm
Die Blätter,Leaves
Die temperatur,Temperature
Die Erde,Earth
Die Vögel,Birds
"Der Norden,Süden, Ostern, Westen","North, South, East, West"
Der Regnen,Rain
Der Wind,Wind
Schneinen (Schneit),To snow (Snowing)
Scheinen,To shine
Sonnig,Sunny
Der Nebel,Fog
Trocken,Dry
Sogar,Even
Glatt,Smooth/flat
Beginnen,Begin
,
,
Fahrrad fahren,To go by bicycle
Fussball spielen,To play football
Kino gehen,To go to cinema
Filme sehen,To see film
Joggen,To Jog
Das Golf,Golf
,
Der Handball,Hand ball
Klettern,To climb
Ski fahren,To ski
Das Tischtennis,Table tennis
Das Mitglied,Member
Die Gymnastik,Gymnastic
Unternehmen,To Undertake
Unterhalten,To relax
Bewegen,"To move, to persuade, To motivate"
Die Gesundheit,Health
Anbieten,To offer
Andere,Other
Die Aktivität,Activity
,
,
Das Auto,Car
Der Bus,Bus
Das Fahrrad,Bicycle
Das Flugzeug,Plane
Das Motorrad,Motorbike
Öffentlich,Public
Das Schiff,Ship
Der Zug / Die Bahn,Train
Privat,Private
Der Bahnhof,Train station
Die Garage,Garage
Der Hafen,Port
Die Haltestelle,Bus Stop/station
Der Taxistand,Taxi stand
Die Station,Station
,
Umsteigen,Change train
Normalerweise,Normally
Stressig,stressfull
Der Hauptbahnhof,Main station (train)
Dort,There
Das hotel,Hotel
,
15. Reisen,
Schaffen,To complete
Herausgefunden,Worked out/found out
Die Platztreservierung,Reserve a place
Lassen,To let
Hin und züruck,There and back
Drüben,Over there / Beyond
Der Informationsschalter,Information desk
Fahrgäste,Passengers
Bauarbeiten,Construction work
Wegen,Due to/because of
Achtung!,Careful!
Die Reisetasche,Travel bag
Der Trolley,Trolley
Der Passagier,Passenger
Die Grenze,"Limit, Border"
Die Geldbörse/Geldtasche,Purse
Die Abflughalle,Departure hall
Der Reiseprospekt,Travel brochure
Der Personalausweis,Personal ID card
Die Beratung,Advice
Der Stau,"Traffic jam , Congestion"
Der Fahrkartenschalter,Ticket counter
,
Der Führerschein(-e),Driver’s licence(-s)
Die Kontrolle,Control
Die Panne,Breakdown
Die Rezeption,Reception
Die Geburtsurkunde,Birth certificate
Ergänzen,"To fill in, to complete,to add (something)"
Der Biergarten/Die Gartenwirtschaft,Beer garden
Die Kneipen,"Pubs / To booze , To drink"
Die Bars,Bars
Besondere / Speziell,Special
Typisch,Typical
Das Holz,Wood
Manchmal,Sometimes
Eigen,Own
Der Tresen,"Bar , Counter"
Alkoholische,Alcoholic
Bieten,To offer
Das Gericht,Dish
Der Fußweg,Foot path
Nennen,To name
Bekommen,To get/receive
Die Lösung(-en),Solution(-s)
Bitter,Bitter
Hart,Hard
Scharf,Sharp/keen
Weich,Soft
,
,
Die Brücke,Bridge
,
Der Dom,"Cathedral, Minster , Dome"
Das Museum,Museum
Der Park,Park
Der Turm,Tower
Das Zentrum,Centre
Andere,Other
Die Stadtmitte,City-centre (Midtown)
Moistens,Mostly
Die Kirche,Church
Hinübergehen,To go over
Hängen,To hang
Die Bilder,Images
Der Gegenstand (Die Gegenstände),"Object, Material"
Ansehen,To look at
Befinden,To decide
Nächste,Next
Gegenüber,Opposite / Via
Beschreiben,To Describe
Haupt,Main
Der Ausgang,Exit
Denn,Because
Zwar,Indeed
Da,There
Die Führung,"Management, Leadership, Incharge"
Der Eintritt,"Entrance , Admission"
Die Postkarte,Post card
Der Sitzplazt,Sitting place
Der Ausblick(-e),"Outlook/view, prospect(-s)"
Die Berge,Mountains
Eintrittskarte(-n),Entry ticket(-s)
,
Die Veranstaltung,"Event, session"
Der Urlaubsort(e),"Vacation place(s), Resort"
Der Landschaft,Landscape
Eigentlich,Actually
Einmal,Once
per,via
,
,
Die Grafik(-en),Graphic(-s)
Die Berufsschule,Vocational school (professional school)
Die Fachhochschule,Technical college
Die Universität,University
Gymnasium/Hauptschule/Realsc hule,Secondary school
Normal-Normalerweise,Normal - normally
Abhängen,To Depend
Der Abschluss,"Conclusion, termination"
Die Ausbildung,"Training, education"
Elektriker(-in),Electrical
Krankenpfleger(-in),Nurse
Werden,Become
Jugendlicher,Youth
Handwerker(-in),Craftsman (Craftswoman)
Beenden,To end
Die Fremdsprache,Foreign language
Fleißig,Diligent/hardworking
Wichtig,Important
Das Glück,Luck
Nie,Never
Wirklich,Really
Automechaniker,Car mechanic
,
,
,
Zuordnen,"To match, to assign"
Ergänzen,To fill in
Jeweils/ Auf jeden Fall,In each case
Bäcker(-in),Baker
Der Friseur,Hair dresser
Der Modedesigner(-in),Fashion designer
Servieren,To serve
Waschen,To wash
Schneiden,To cut
Führen,To lead
Planen,To plan
Korrigieren,To correct
Die Boutique,Boutique
Das Modeatelier / Modestudio,Fashion studio
Der Taxifahrer,Taxi driver
Nett,Nice
Als,As
Freiwillig,Voluntary
Die Feuerwehr,Fire brigade
Die Bürokratie,Bureaucracy
Katastrophen,Disasters/catastrophes
Brennen,To burn
Jemand,Someone
Mitmachen,To do with
Spaß,Fun
Das Gehalt / Der Lohn,"Wage , Salary"
,
,
,
,
Offiziell,Official
Schreiben,To write
Senden,To send
Die Anrede / Der Titel,Title
Der Empfänger,Receiver
Der Vertrag,Agreement / Contract
Zurück,Return
Der Briefumschlag,Envelop
Danken/sich bedanken,To thank
Herzlichen,Heartily
Bis bald/bis dann,See you soon
Einfügen,To insert
Überprüfen,To review
Streichen,To strike
Der Briefkasten,Letter box
Senden/schicken,To send
Der Anrufbeantworter,Answering machine
Schenken,To gift/Donate
Speichern,"To store, to save"
Löschen,"To erase, to extinguish, to put out"
Das Päckchen,Packets/packages
Der Sekretär(-in),Secretary
Partnerfirma,Partner company
Die Webseite(-n),Website(-s)
Die Versicherung,Insurance
Die Verabredung / Der Termin,Appointment
Beschäftigt,Busy
Bestätigen,To confirm / approve
Klingeln,To ring
Verbinden,To connect
,
Zurückrufen,To call back
Genau,Exactly
Der Bescheid,Decision
Fertig,Finish/Ready
Während,While
Die Situation,Situation
Verinbaren,"To Agree , to arrange (a deal)"
Machen/tun,To do
Verschieben,To postpone
Absagen,To cancel
Gleichfalls,Likewise
Das Fitneßstudio,Gym
,
,
Eindrüken,To impress
Ausdrücken,To express
Alltag,Whole day
Gute Besserung,Get well soon
Schlaf gut,Sleep well
Herein,Come in
Prost/zum wohl,Cheers! (To your health)
Viel spaß,Lots of fun (Have fun)
Vorstellen,Introduce
(zu)Stimmen,Agree
Passieren,To happen/pass
Nichts Schlimmes/Nichts Schlechtes,Nothing bad
Typisch,Typical
Der Karneval,Carnival
Ostern,Eastern
Silverster,New year’s eve
,
Weihnachten,Christmas
Die Braut,Bride
Bräutigam,Bride groom
Der Anzug,Suit
Das Paar,"Pair, couple"
Bunt,Colourful
Blumen,Flowers
Blühen,To bloom
,
,
Das Buch,Book
Der Computer,Computer
Das Fernsehen,TV
Das Tablet,Tablet
Möglich/ Die Möglichkeit,Possible/Possibility
Mehrere,More
Die Roman(-e),Novel(-s)
Der Artikel,Article
Hochladen,Upload
Herunterladen,Download
Kommunizieren,To communicate
Bloggen,To blog
Chatten,To chat
Posten,To post
Recherchieren,To research
Simsen,To text
Twittern/skypen,To twitter/To skype
Googeln,To google
,
Sich verabreden,To make an arrangement (date)
,
Sich entschuldigen,To excuse oneself / to apologize
Jemandem danken,To thank someone
Einen Termin machen,To make an appointment
Jemanden einladen,To invite someone
Aufstehen,"To stand up, to get up"
Sich anziehen,To get dressed
Sich waschen,To wash oneself
Ins Bett gehen,To go to bed
Sich informieren,To inform oneself
Benutzen,To use
Träumen,To dream
Frei haben,To have free time
Sich beeilen,"To hurry up , to be quick"
Nichts tun,Nothing to do
Angst haben,To be afraid
Verletzt sein,To be injured
Gesund sein,To be healthy
Bluten,To bleed
Husten,To cough
Vorsichtig sein,To be careful
Verlieren,To lose
Aktiv sein,To be active
Stress haben,To have stress
Rechnen,"To calculate, to count"
Lösen,To solve
Üben,"To exercise, to practice"
Formulieren,To formulate
Sich anmelden,To enroll/register oneself
Zeigen,"To show, to point out"
